user_id,ip_address,social_media_handle,email_x,user_registration_id,username,email_y,first_name,last_name
1,192.168.192.126,lherring,,,,,,
2,172.18.54.245,jrodriguez,jrodriguez@example.com,1.0,jrodriguez,jrodriguez@example.com,Jason,Rodriguez
3,172.19.187.181,mhanson,,,,,,
4,192.168.191.77,,,,,,,
5,172.31.71.19,mwallace,mwallace@example.com,2.0,mwallace,mwallace@example.com,Michael,Wallace
6,172.24.221.226,,ehayes@example.net,3.0,ehayes,ehayes@example.net,Eileen,Hayes
7,172.26.209.141,droberson,droberson@example.com,4.0,droberson,droberson@example.com,Deborah,Roberson
8,192.168.185.176,,bvalenzuela@example.com,5.0,bvalenzuela,bvalenzuela@example.com,Brian,Valenzuela
9,10.201.174.215,jjohnson,,,,,,
10,172.21.154.6,chaynes,chaynes@example.com,6.0,chaynes,chaynes@example.com,Catherine,Haynes
11,192.168.57.86,,btran@example.net,7.0,btran,btran@example.net,Beth,Tran
12,10.5.244.7,,,,,,,
13,172.17.165.174,,,,,,,
14,10.185.19.167,,,,,,,
15,192.168.250.196,pcrane,,,,,,
16,172.21.223.250,,,,,,,
17,172.18.218.53,ebailey,,,,,,
18,172.22.243.15,,jward@example.org,8.0,jward,jward@example.org,Jennifer,Ward
19,172.23.215.121,,dwhite@example.com,9.0,dwhite,dwhite@example.com,Daisy,White
20,192.168.209.134,,,,,,,
21,192.168.72.74,swilliams,,,,,,
22,172.22.127.33,,,,,,,
23,172.27.112.177,agreene,agreene@example.com,10.0,agreene,agreene@example.com,Amanda,Greene
24,10.246.109.73,,skelley@example.net,11.0,skelley,skelley@example.net,Susan,Kelley
25,10.17.103.231,,dandrade@example.org,12.0,dandrade,dandrade@example.org,David,Andrade
26,192.168.26.194,,jsmith@example.net,13.0,jsmith,jsmith@example.net,James,Smith
27,10.10.233.182,,,,,,,
28,192.168.166.244,,,,,,,
29,192.168.8.10,cvance,cvance@example.net,14.0,cvance,cvance@example.net,Chelsea,Vance
30,172.30.70.134,mschmidt,mschmidt@example.net,15.0,mschmidt,mschmidt@example.net,Mary,Schmidt
31,172.17.69.142,tmiller,tmiller@example.com,16.0,tmiller,tmiller@example.com,Thomas,Miller
