user_registration_id,payment_detail_id,plan_id,start_date,end_date,payment_method_code,payment_method_value,payment_method_expiry,payment_frequency_code,cost_amount,english_description,french_description
1,1,2,2024-03-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4759339924109,12/26,ANNUALLY,9.99,Annually,Annuel
2,2,3,2024-03-31T00:00:00.000-06:00,2024-10-06T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,07/25,ONETIME,14.99,Onetime,Une fois
3,3,1,2024-12-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,05/25,MONTHLY,1.99,Monthly,Mensuel
4,4,2,2024-05-15T00:00:00.000-06:00,2024-11-24T00:00:00.000-06:00,PAYPAL,droberson@example.com,01/25,ANNUALLY,9.99,Annually,Annuel
5,5,1,2024-11-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,04/26,MONTHLY,1.99,Monthly,Mensuel
6,6,3,2024-03-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,12/26,ONETIME,14.99,Onetime,Une fois
7,7,1,2024-07-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,03/27,MONTHLY,1.99,Monthly,Mensuel
8,8,1,2024-01-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jward@example.org,10/25,MONTHLY,1.99,Monthly,Mensuel
9,9,2,2024-02-14T00:00:00.000-06:00,2024-12-16T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,10/25,ANNUALLY,9.99,Annually,Annuel
10,10,1,2024-07-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,02/27,MONTHLY,1.99,Monthly,Mensuel
11,11,3,2024-11-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,2457894019477215,05/25,ONETIME,14.99,Onetime,Une fois
12,12,2,2024-01-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4580187525768,07/26,ANNUALLY,9.99,Annually,Annuel
13,13,3,2024-12-18T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,08/26,ONETIME,14.99,Onetime,Une fois
14,14,2,2024-06-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,01/25,ANNUALLY,9.99,Annually,Annuel
15,15,2,2024-09-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,01/26,ANNUALLY,9.99,Annually,Annuel
16,16,2,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,08/26,ANNUALLY,9.99,Annually,Annuel
17,17,3,2024-09-23T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,09/25,ONETIME,14.99,Onetime,Une fois
18,18,1,2024-05-18T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,02/25,MONTHLY,1.99,Monthly,Mensuel
19,19,2,2024-05-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,12/26,ANNUALLY,9.99,Annually,Annuel
20,20,2,2024-07-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,07/25,ANNUALLY,9.99,Annually,Annuel
21,21,2,2024-01-09T00:00:00.000-06:00,2024-09-01T00:00:00.000-06:00,CREDIT_CARD,3511890977854934,09/26,ANNUALLY,9.99,Annually,Annuel
